Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
173.0,155.9955938557485,138.90477782652226,173.08640988497473,2015-06-01 22:00:00-04:00
177.0,155.59695798410206,138.50642376102024,172.68749220718388,2015-06-01 23:00:00-04:00
172.0,155.56865084446858,138.4357484499037,172.70155323903344,2015-06-02 00:00:00-04:00
172.0,154.73663579295584,137.60378662691423,171.86948495899745,2015-06-02 01:00:00-04:00
177.0,155.96204153093868,138.82906525669512,173.09501780518224,2015-06-02 02:00:00-04:00
174.0,154.2337039512405,137.10088854738004,171.36651935510096,2015-06-02 03:00:00-04:00
169.0,154.1360297130272,137.00328137724634,171.26877804880806,2015-06-02 04:00:00-04:00
169.0,153.62270213072875,136.4899938251993,170.75541043625822,2015-06-02 05:00:00-04:00
169.0,153.850275342455,136.71756976807424,170.98298091683577,2015-06-02 06:00:00-04:00
167.0,153.91131320929136,136.77856633626507,171.04406008231766,2015-06-02 07:00:00-04:00
168.0,154.76230670659086,137.62862309850166,171.89599031468006,2015-06-02 08:00:00-04:00
169.0,155.37393276609168,138.23942628049505,172.50843925168832,2015-06-02 09:00:00-04:00
173.0,156.13226696788718,138.997713395577,173.26682054019736,2015-06-02 10:00:00-04:00
171.0,156.2368259651845,139.10123663979417,173.37241529057482,2015-06-02 11:00:00-04:00
176.0,156.31802254440956,139.18215797963418,173.45388710918493,2015-06-02 12:00:00-04:00
176.0,157.72451560628684,140.57976981846093,174.86926139411275,2015-06-02 13:00:00-04:00
175.0,160.06009493666036,142.92018137213574,177.20000850118498,2015-06-02 14:00:00-04:00
179.0,160.4907056481125,143.35204833321978,177.62936296300524,2015-06-02 15:00:00-04:00
178.0,159.25239554503548,142.11830108375327,176.3864900063177,2015-06-02 16:00:00-04:00
176.0,158.2309377499849,141.09666359999952,175.36521189997026,2015-06-02 17:00:00-04:00
176.0,158.44630243955228,141.31153721868816,175.5810676604164,2015-06-02 18:00:00-04:00
171.0,157.02338491120557,139.88947421643252,174.15729560597862,2015-06-02 19:00:00-04:00
161.0,155.95123073721126,138.81773846627505,173.08472300814748,2015-06-02 20:00:00-04:00
155.0,154.85612386017044,137.72280389220316,171.98944382813772,2015-06-02 21:00:00-04:00
154.0,154.26678155291717,137.13184985168013,171.4017132541542,2015-06-02 22:00:00-04:00
152.0,153.33075431547894,136.19713449887448,170.4643741320834,2015-06-02 23:00:00-04:00
156.0,152.69154559900284,135.5575225001825,169.82556869782317,2015-06-03 00:00:00-04:00
152.0,152.90982927139083,135.77671639188455,170.04294215089712,2015-06-03 01:00:00-04:00
154.0,153.80950808866757,136.67579594469234,170.9432202326428,2015-06-03 02:00:00-04:00
150.0,152.09956981377454,134.96649645604035,169.23264317150873,2015-06-03 03:00:00-04:00
150.0,151.52593176193352,134.39326855674963,168.6585949671174,2015-06-03 04:00:00-04:00
148.0,150.81617527188524,133.68296841484417,167.94938212892632,2015-06-03 05:00:00-04:00
150.0,150.45574653507177,133.32231229183176,167.58918077831177,2015-06-03 06:00:00-04:00
150.0,150.3498470055396,133.21568605379352,167.48400795728568,2015-06-03 07:00:00-04:00
148.0,150.604561502126,133.4676123911136,167.7415106131384,2015-06-03 08:00:00-04:00
151.0,150.52055342251367,133.38309484611037,167.65801199891698,2015-06-03 09:00:00-04:00
152.0,150.4387537425184,133.3002907405927,167.57721674444412,2015-06-03 10:00:00-04:00
150.0,150.7078202406401,133.56822286514662,167.84741761613358,2015-06-03 11:00:00-04:00
154.0,151.02318334682428,133.88419999053275,168.16216670311582,2015-06-03 12:00:00-04:00
152.0,151.29765425125132,134.15965427259917,168.43565422990346,2015-06-03 13:00:00-04:00
149.0,151.88988126435154,134.75248245245012,169.02728007625296,2015-06-03 14:00:00-04:00
157.0,152.71154729494722,135.57474696764794,169.8483476222465,2015-06-03 15:00:00-04:00
151.0,152.18191805201482,135.0450927421702,169.31874336185945,2015-06-03 16:00:00-04:00
150.0,151.90863114212928,134.77269065919126,169.0445716250673,2015-06-03 17:00:00-04:00
151.0,151.48114123248087,134.34458783137563,168.6176946335861,2015-06-03 18:00:00-04:00
150.0,151.01487399689128,133.87711660021486,168.1526313935677,2015-06-03 19:00:00-04:00
152.0,150.73262341770658,133.59742574500694,167.8678210904062,2015-06-03 20:00:00-04:00
147.0,150.84405536422426,133.7102769559237,167.97783377252483,2015-06-03 21:00:00-04:00
151.0,151.0670809553688,133.93331845969323,168.20084345104436,2015-06-03 22:00:00-04:00
149.0,151.14708332954956,134.01331524075857,168.28085141834055,2015-06-03 23:00:00-04:00
148.0,150.91874016593073,133.78749320536568,168.04998712649578,2015-06-04 00:00:00-04:00
150.0,151.50396586338525,134.373302325199,168.6346294015715,2015-06-04 01:00:00-04:00
148.0,151.65387372703836,134.5247086684742,168.7830387856025,2015-06-04 02:00:00-04:00
148.0,151.0158826906359,133.8869186500755,168.14484673119628,2015-06-04 03:00:00-04:00
148.0,141.47092761596838,124.34164863988153,158.60020659205523,2015-06-04 04:00:00-04:00
150.0,112.71895146729915,95.59015355432668,129.8477493802716,2015-06-04 05:00:00-04:00
147.0,145.01066773865426,127.88132264467012,162.1400128326384,2015-06-04 06:00:00-04:00
147.0,150.17422166362206,133.0448494502885,167.30359387695563,2015-06-04 07:00:00-04:00
148.0,150.77431283214415,133.64378748739858,167.9048381768897,2015-06-04 08:00:00-04:00
158.0,151.17368408093148,134.04218093561772,168.30518722624524,2015-06-04 09:00:00-04:00
155.0,151.9002103759842,134.767474533873,169.03294621809536,2015-06-04 10:00:00-04:00
152.0,151.42856933554842,134.2942817412752,168.56285692982163,2015-06-04 11:00:00-04:00
153.0,152.97136072576316,135.83665819905457,170.10606325247176,2015-06-04 12:00:00-04:00
151.0,153.28980595529782,136.15597215798897,170.42363975260668,2015-06-04 13:00:00-04:00
156.0,154.32284356538952,137.1893484047537,171.45633872602534,2015-06-04 14:00:00-04:00
154.0,154.0868596696409,136.9540716778751,171.21964766140667,2015-06-04 15:00:00-04:00
146.0,153.34637907461192,136.21363885928577,170.47911928993807,2015-06-04 16:00:00-04:00
148.0,153.24122433599192,136.10805979996445,170.37438887201938,2015-06-04 17:00:00-04:00
145.0,152.76079226345394,135.62525526153385,169.89632926537402,2015-06-04 18:00:00-04:00
146.0,152.36092454719838,135.22562137578623,169.49622771861053,2015-06-04 19:00:00-04:00
150.0,152.0194220549428,134.88768247775738,169.1511616321282,2015-06-04 20:00:00-04:00
151.0,151.95248779189444,134.82092388979027,169.08405169399862,2015-06-04 21:00:00-04:00
150.0,151.56816747499042,134.4379821019997,168.69835284798114,2015-06-04 22:00:00-04:00
149.0,151.5949175085425,134.46492789331302,168.72490712377197,2015-06-04 23:00:00-04:00
150.0,151.88891508493867,134.76166669949015,169.0161634703872,2015-06-05 00:00:00-04:00
149.0,151.27165881717866,134.1443221637825,168.39899547057482,2015-06-05 01:00:00-04:00
146.0,152.3998289643892,135.27268820640924,169.52696972236916,2015-06-05 02:00:00-04:00
142.0,150.50724124995403,133.3799209184226,167.63456158148546,2015-06-05 03:00:00-04:00
143.0,150.78393281046104,133.657061611455,167.91080400946709,2015-06-05 04:00:00-04:00
143.0,150.0062110881403,132.8794031402476,167.133019036033,2015-06-05 05:00:00-04:00
143.0,151.28589572551766,134.1591288563275,168.41266259470783,2015-06-05 06:00:00-04:00
142.0,150.21890654164795,133.09202941714565,167.34578366615025,2015-06-05 07:00:00-04:00
145.0,151.65914914820596,134.5287028731277,168.7895954232842,2015-06-05 08:00:00-04:00
144.0,151.61349258553483,134.48361602736895,168.7433691437007,2015-06-05 09:00:00-04:00
146.0,153.1178616178072,135.9893548747879,170.2463683608265,2015-06-05 10:00:00-04:00
147.0,153.61528464637445,136.48556862856552,170.74500066418338,2015-06-05 11:00:00-04:00
156.0,155.00921752573632,137.88012425357917,172.13831079789347,2015-06-05 12:00:00-04:00
161.0,157.11794401829528,139.98326699794146,174.2526210386491,2015-06-05 13:00:00-04:00
161.0,158.5425451799455,141.40935334341188,175.67573701647913,2015-06-05 14:00:00-04:00
164.0,158.92178553719728,141.78688505146928,176.05668602292528,2015-06-05 15:00:00-04:00
166.0,159.14251544708165,142.012260567065,176.2727703270983,2015-06-05 16:00:00-04:00
163.0,159.08371469774974,141.95385117694838,176.2135782185511,2015-06-05 17:00:00-04:00
165.0,158.4113096089725,141.28055156212696,175.54206765581802,2015-06-05 18:00:00-04:00
161.0,157.83111373231566,140.70260477880515,174.95962268582616,2015-06-05 19:00:00-04:00
159.0,157.81230362786633,140.68592844253016,174.9386788132025,2015-06-05 20:00:00-04:00
155.0,156.33744420375484,139.21076489236438,173.4641235151453,2015-06-05 21:00:00-04:00
156.0,155.78784724808725,138.66091745953344,172.91477703664106,2015-06-05 22:00:00-04:00
156.0,154.20604568974034,137.07763007509462,171.33446130438605,2015-06-05 23:00:00-04:00
157.0,153.5063978008732,136.37896595446693,170.63382964727947,2015-06-06 00:00:00-04:00
154.0,152.86786134471072,135.74093057736187,169.99479211205957,2015-06-06 01:00:00-04:00
157.0,153.94908891984113,136.82227507544138,171.07590276424088,2015-06-06 02:00:00-04:00
155.0,152.74340482789867,135.6169291809663,169.86988047483104,2015-06-06 03:00:00-04:00
147.0,152.4064540843809,135.2797401523276,169.5331680164342,2015-06-06 04:00:00-04:00
143.0,151.35746365416855,134.23074871434318,168.48417859399393,2015-06-06 05:00:00-04:00
143.0,152.59793880445795,135.4711100018467,169.7247676070692,2015-06-06 06:00:00-04:00
147.0,152.30155301181978,135.1735610770369,169.42954494660265,2015-06-06 07:00:00-04:00
144.0,154.67368644065544,137.54375428958733,171.80361859172356,2015-06-06 08:00:00-04:00
155.0,157.37770487670252,140.24867173365564,174.5067380197494,2015-06-06 09:00:00-04:00
162.0,158.6230606987058,141.49618351786847,175.74993787954315,2015-06-06 10:00:00-04:00
162.0,159.60919752986405,142.4818049564578,176.7365901032703,2015-06-06 11:00:00-04:00
